# ====================================================
#  銀剣ドリル — Donjon N3 · fichier de mots
#  Ajoute tes mots ici puis "Enregistrer" dans le jeu.
#  Le sens n'apparaît qu'à la correction (jamais sur la question).
# ----------------------------------------------------
#  Vocabulaire :  kanji ; lecture ; sens
#  Grammaire   :  @g ; forme ; sens ; phrase avec ___ ; réponse
#  Phrase      :  @s ; mot / mot / mot ; traduction
#  ( # = commentaire,  lignes vides ignorées )
# ====================================================

# --- VOCABULAIRE ---
約束 ; やくそく ; promesse / rendez-vous
経験 ; けいけん ; expérience
連絡 ; れんらく ; contact
相談 ; そうだん ; demander conseil
準備 ; じゅんび ; préparation
習慣 ; しゅうかん ; habitude
文化 ; ぶんか ; culture
祖父 ; そふ ; grand-père
景色 ; けしき ; paysage
我慢 ; がまん ; se retenir
迷惑 ; めいわく ; dérangement
締切 ; しめきり ; date limite
担当 ; たんとう ; être en charge
許可 ; きょか ; permission
注文 ; ちゅうもん ; commande
故障 ; こしょう ; panne
就職 ; しゅうしょく ; trouver un emploi
退屈 ; たいくつ ; ennui
複雑 ; ふくざつ ; compliqué
正直 ; しょうじき ; honnête
真剣 ; しんけん ; sérieux
普段 ; ふだん ; d'habitude
絶対 ; ぜったい ; absolument
夢中 ; むちゅう ; passionné
怪我 ; けが ; blessure
冗談 ; じょうだん ; blague
態度 ; たいど ; attitude
明かり ; あかり ; lumière / clarté / lueur
明ける ; あける ; se lever (jour) / faire jour
明らか ; あきらか ; clair / évident
悪魔 ; あくま ; démon / diable / Satan
暗記 ; あんき ; mémorisation / apprentissage par cœur
新た ; あらた ; nouveau / frais / inédit
有らゆる ; あらゆる ; tout / chaque / tous les
集まり ; あつまり ; rassemblement / réunion / collection
部分 ; ぶぶん ; partie / section / portion
分 ; ぶん ; part / portion / segment
文明 ; ぶんめい ; civilisation / culture
分析 ; ぶんせき ; analyse
分野 ; ぶんや ; domaine / champ / branche
父親 ; ちちおや ; père
地平線 ; ちへいせん ; horizon (terrestre)
地位 ; ちい ; position (sociale) / statut / rang
長期 ; ちょうき ; long terme
中 ; ちゅう ; pendant / au milieu / moyen
中学 ; ちゅうがく ; collège
昼食 ; ちゅうしょく ; déjeuner / repas de midi
大部分 ; だいぶぶん ; la plupart / la majeure partie
駄目 ; だめ ; pas bon / inutile / impossible
男子 ; だんし ; garçon / jeune homme
出会い ; であい ; rencontre
出会う ; であう ; rencontrer (par hasard) / tomber sur
読書 ; どくしょ ; lecture
努力 ; どりょく ; effort / labeur
同一 ; どういつ ; identique / le même / égal
円 ; えん ; yen / cercle
不利 ; ふり ; désavantage / handicap / position défavorable
不足 ; ふそく ; insuffisance / manque / pénurie
再び ; ふたたび ; de nouveau / encore une fois
外交 ; がいこう ; diplomatie
外出 ; がいしゅつ ; sortie / fait de sortir
学期 ; がっき ; trimestre / semestre (scolaire)
学 ; がく ; étude / savoir / -logie
学問 ; がくもん ; savoir / étude / érudition
学者 ; がくしゃ ; érudit / savant / chercheur
学習 ; がくしゅう ; apprentissage / étude
議長 ; ぎちょう ; président (d'assemblée) / modérateur
議会 ; ぎかい ; parlement / assemblée / diète
語学 ; ごがく ; étude des langues / linguistique
激しい ; はげしい ; violent / intense / extrême
母親 ; ははおや ; mère
博物館 ; はくぶつかん ; musée
販売 ; はんばい ; vente / commercialisation
発明 ; はつめい ; invention
外す ; はずす ; enlever / retirer / manquer (rater)
品 ; ひん ; élégance / article (objet)
一言 ; ひとこと ; un mot / quelques mots / brève remarque
一人一人 ; ひとりひとり ; un par un / chacun
本物 ; ほんもの ; article authentique / le vrai / l'original
本人 ; ほんにん ; la personne concernée / l'intéressé(e) / soi-même
一致 ; いっち ; accord / concordance / coïncidence
一時 ; いちじ ; une heure
意外 ; いがい ; inattendu / surprenant
一家 ; いっか ; une famille / un foyer / toute la famille
今に ; いまに ; bientôt / d'ici peu
今にも ; いまにも ; à tout moment / sur le point de
一般 ; いっぱん ; général / ordinaire / commun / moyen
一方 ; いっぽう ; d'un côté / une direction / d'autre part
一生 ; いっしょう ; toute une vie / la vie entière / une génération
一種 ; いっしゅ ; une espèce / une sorte / une variété
一瞬 ; いっしゅん ; un instant / un moment
一層 ; いっそう ; encore plus / d'autant plus / une seule couche
一体 ; いったい ; (mais) enfin / (pourquoi) diable
所謂 ; いわゆる ; ce qu'on appelle / le soi-disant / pour ainsi dire
邪魔 ; じゃま ; gêne / obstacle / dérangement
化学 ; かがく ; chimie
会 ; かい ; réunion / assemblée / association / club
会員 ; かいいん ; membre
海外 ; かいがい ; étranger / outre-mer / à l'étranger
会合 ; かいごう ; réunion / rassemblement / assemblée
会計 ; かいけい ; comptabilité / addition (note) / trésorier
開始 ; かいし ; début / commencement / lancement
科目 ; かもく ; matière (scolaire) / cursus / cours
権利 ; けんり ; droit / privilège
基本 ; きほん ; base / fondement / fondamentaux
記事 ; きじ ; article / reportage / compte rendu
気味 ; きみ ; sensation / impression / tendance
記念 ; きねん ; commémoration / célébration / souvenir
気に入る ; きにいる ; aimer / apprécier / se prendre d'affection pour
記入 ; きにゅう ; saisie / remplissage (formulaire)
記憶 ; きおく ; mémoire / souvenir
記者 ; きしゃ ; reporter / journaliste
期待 ; きたい ; attente / espérance / anticipation
国家 ; こっか ; État / pays / nation
国会 ; こっかい ; Diète (parlement japonais) / assemblée législative
国境 ; こっきょう ; frontière (nationale)
国語 ; こくご ; langue nationale
国民 ; こくみん ; peuple (d'un pays) / nation / citoyen
今後 ; こんご ; désormais / à l'avenir
今回 ; こんかい ; cette fois / actuellement
今日 ; こんにち ; aujourd'hui / de nos jours
転ぶ ; ころぶ ; tomber / trébucher
高速 ; こうそく ; haute vitesse / rapide / express
訓練 ; くんれん ; entraînement / exercice / discipline
教科書 ; きょうかしょ ; manuel scolaire
協力 ; きょうりょく ; coopération / collaboration
強力 ; きょうりょく ; puissant / fort / robuste
明ける ; あける ; se lever (jour) / faire jour
暗記 ; あんき ; mémorisation / apprentissage par cœur
分析 ; ぶんせき ; analyse
出会う ; であう ; rencontrer (par hasard) / tomber sur
読書 ; どくしょ ; lecture
努力 ; どりょく ; effort / labeur
不足 ; ふそく ; insuffisance / manque / pénurie
外出 ; がいしゅつ ; sortie / fait de sortir
学問 ; がくもん ; savoir / étude / érudition
学習 ; がくしゅう ; apprentissage / étude
販売 ; はんばい ; vente / commercialisation
発明 ; はつめい ; invention
外す ; はずす ; enlever / retirer / manquer (rater)
一言 ; ひとこと ; un mot / quelques mots / brève remarque
一致 ; いっち ; accord / concordance / coïncidence
邪魔 ; じゃま ; gêne / obstacle / dérangement
会合 ; かいごう ; réunion / rassemblement / assemblée
開始 ; かいし ; début / commencement / lancement
記念 ; きねん ; commémoration / célébration / souvenir
気に入る ; きにいる ; aimer / apprécier / se prendre d'affection pour
記入 ; きにゅう ; saisie / remplissage (formulaire)
記憶 ; きおく ; mémoire / souvenir
期待 ; きたい ; attente / espérance / anticipation
転ぶ ; ころぶ ; tomber / trébucher
訓練 ; くんれん ; entraînement / exercice / discipline
協力 ; きょうりょく ; coopération / collaboration
吸収 ; きゅうしゅう ; absorption / aspiration
学ぶ ; まなぶ ; étudier / apprendre (en profondeur)
満足 ; まんぞく ; satisfaction / contentement / suffisant
味方 ; みかた ; allié / partisan / soutien
入場 ; にゅうじょう ; entrée / admission
収める ; おさめる ; fournir / verser / offrir / payer
連続 ; れんぞく ; continuation / succession / série
利益 ; りえき ; profit / bénéfice / gain
留学 ; りゅうがく ; études à l'étranger
左右 ; さゆう ; gauche et droite
成長 ; せいちょう ; croissance / développement
刺激 ; しげき ; stimulus / incitation / excitation / provocation
進学 ; しんがく ; poursuite d'études (entrée dans un établissement supérieur)
使用 ; しよう ; usage / emploi / utilisation
証明 ; しょうめい ; preuve / vérification / certification
招待 ; しょうたい ; invitation
集中 ; しゅうちゅう ; concentration / centralisation
収穫 ; しゅうかく ; récolte / moisson / fruits (du travail)
徹夜 ; てつや ; nuit blanche (veiller toute la nuit)
取れる ; とれる ; se détacher / s'enlever / pouvoir être obtenu
取り上げる ; とりあげる ; ramasser / saisir / prendre
通学 ; つうがく ; trajet vers l'école / aller à l'école
受け取る ; うけとる ; recevoir / comprendre (interpréter)
運転 ; うんてん ; conduite / fonctionnement
売れる ; うれる ; bien se vendre
分ける ; わける ; diviser / séparer / partager
悪口 ; わるぐち ; médisance / insulte / dire du mal
輸入 ; ゆにゅう ; importation
輸出 ; ゆしゅつ ; exportation
明らか ; あきらか ; clair / évident
新た ; あらた ; nouveau / frais / inédit
駄目 ; だめ ; pas bon / inutile / impossible
同一 ; どういつ ; identique / le même / égal
不利 ; ふり ; désavantage / handicap / position défavorable
不足 ; ふそく ; insuffisance / manque / pénurie
激しい ; はげしい ; violent / intense / extrême
発明 ; はつめい ; invention
意外 ; いがい ; inattendu / surprenant
一般 ; いっぱん ; général / ordinaire / commun / moyen
邪魔 ; じゃま ; gêne / obstacle / dérangement
海外 ; かいがい ; étranger / outre-mer / à l'étranger
高速 ; こうそく ; haute vitesse / rapide / express
強力 ; きょうりょく ; puissant / fort / robuste
急激 ; きゅうげき ; soudain / brusque / radical
急速 ; きゅうそく ; rapide (ex. progrès)
真面目 ; まじめ ; sérieux / consciencieux
真っ赤 ; まっか ; rouge vif / écarlate / cramoisi (visage)
満足 ; まんぞく ; satisfaction / contentement / suffisant
明確 ; めいかく ; clair / précis / net / défini
熱心 ; ねっしん ; enthousiaste / ardent / assidu
利口 ; りこう ; malin / intelligent / astucieux
新鮮 ; しんせん ; frais
上手い ; うまい ; habile / doué / délicieux
宜しい ; よろしい ; (poli) ça va / d'accord / bien
有利 ; ゆうり ; avantageux / favorable / profitable
随分 ; ずいぶん ; très / extrêmement / considérablement
早産 ; そうざん ; accouchement prématuré
初産 ; ういざん ; premier accouchement
ピリピリ ; ピリピリ ; tendu / à cran (onomatopée)
つきっきり ; つきっきり ; constamment auprès de qqn (pour s'en occuper)
義理の母 ; ぎりのはは ; belle-mère (mère du conjoint)
義母 ; ぎぼ ; belle-mère
日頃から ; ひごろから ; habituellement / d'ordinaire
